Name,City,Country,Region,Term,GPA,Advisor,College,Credits,Costs,SAPA,About
UF in Chile - Energy Management and Engineering,Santiago,Chile,South America,Summer C,2.8,Lisa Dias,Engineering,6,7468,No,"The program is set-up as an international industrial energy consulting company doing work in Chile, in collaboration with the host: Pontificia Universidad Catolica de Valparaiso, Chile. Science and engineering students will closely work with local plant engineers, develop critical skills, and become instruments of change by evaluating the efficient use of energy in industrial processes, alternative and/or renewable energy sources, technically and economically. Students will participate in an ambitious program with site visits to local industries, with a great amount of time to get to know some relevant cultural sites and cities as are Valparaiso, Vina del Mar, Santiago, enjoy the local cuisine, local arts and crafts, and more. "
Aalto University School of Business,Helsinki,Finland,Europe,Summer A,3,N/A,Business,N/A,N/A,No,"Aalto University is a highly ranked business university in Europe. Established in 1911, Aalto is the largest and leading business university in Finland, offering the most comprehensive range of degree programs in the field of economics and business administration. At Aalto, highly qualified scientific research merges with corporate connections, providing the students with a combination of extensive theoretical studies and real business life experiences. The University has actively adopted modern teaching methods and increased student involvement in the teaching and learning process."
Aarhus BSS,Aarhus,Denmark,Europe,Summer B,3,N/A,Business,N/A,N/A,No,"Aarhus University is the second largest university in Denmark and Aarhus BSS is one of Europe's leading business schools, with over 13,000 students in attendance. A triple-crown accreditation (EQUIS, AMBA and AACSB) places Aarhus BSS among the best business schools worldwide and on a par with the London Business School, INSEAD in France, and the University of Washington, USA. With a population in excess of 270,000 inhabitants, Aarhus is the second largest city in Denmark. It was founded by Vikings around year 750. Today, Aarhus is known as the capital of the province, recognized for its thriving business and commercial sector as well as the many schools and educational institutions located in the area. The downtown area hosts a mixture of cobbled streets, green parks, old monuments and modern buildings in addition to the Aarhus River, which runs through the city's center."
Advanced Pharmacy Practical Experience - Brisbane,Brisbane,Australia,Australia/Pacific Islands,Fall,N/A,Nicole Fuls,Pharmacy,6,N/A,No,"This program is for pre-approved UF Pharmacy students. For more information on this program and your participation eligibility, please contact Dr. Randell Doty. "
Advanced Pharmacy Practical Experience - Chiang Mai,Chiang Mai,Thailand,Asia,Spring,N/A,Nicole Fuls,Pharmacy,6,N/A,No,"This program is for pre-approved UF Pharmacy students. For more information on this program and your participation eligibility, please contact Dr. Randell Doty. "
Advanced Pharmacy Practical Experience - Eltville,Eltville,Germany,Europe,Spring,N/A,Nicole Fuls,Pharmacy,6,N/A,No,"This program is for pre-approved UF Pharmacy students. For more information on this program and your participation eligibility, please contact Dr. Randell Doty. "
Advanced Pharmacy Practical Experience - Helsinki,Helsinki,Finland,Europe,Spring,N/A,Nicole Fuls,Pharmacy,6,N/A,No,"This program is for pre-approved UF Pharmacy students. For more information on this program and your participation eligibility, please contact Dr. Randell Doty. "
Advanced Pharmacy Practical Experience - Malta,Msida,Malta,Europe,Fall,N/A,Nicole Fuls,Pharmacy,6,N/A,No,"This program is for pre-approved UF Pharmacy students. For more information on this program and your participation eligibility, please contact Dr. Randell Doty. "
Advanced Pharmacy Practical Experience - Manchester,Manchester,United Kingdom,Europe,Fall,N/A,Nicole Fuls,Pharmacy,6,N/A,No,"This program is for pre-approved UF Pharmacy students. For more information on this program and your participation eligibility, please contact Dr. Randell Doty. "
Advanced Pharmacy Practical Experience - Munich,Munich,Germany,Europe,Fall,N/A,Nicole Fuls,Pharmacy,6,N/A,No,"This program is for pre-approved UF Pharmacy students. For more information on this program and your participation eligibility, please contact Dr. Randell Doty. "
Advanced Pharmacy Practical Experience - Tokyo,Tokyo,Japan,Asia,Spring,N/A,Nicole Fuls,Pharmacy,6,N/A,No,"This program is for pre-approved UF Pharmacy students. For more information on this program and your participation eligibility, please contact Dr. Randell Doty. "
